Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Immigration, asile et intégration;IA;303.0;Immigration et asile;01;Circulation des étrangers et politique des visas;;;31.0;3;520000.0;520000.0;0.0;0.0;Intérieur et outre-mer
BG;Justice;JA;166.0;Justice judiciaire;06;Soutien;;;64.0;6;3720300.0;3720300.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;04;Gestion de l'administration centrale;;;23.0;2;1346421.0;1346421.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;05;Developpement des techniques d’enquetes numeriques judiciaires;;;22.0;2;1836980.0;1836980.0;0.0;0.0;Justice
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;01;Logement;;;63.0;6;36000000.0;27250000.0;0.0;0.0;Intérieur et outre-mer
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;07;Insertion économique et coopération régionales;;;64.0;6;889500.0;889500.0;0.0;0.0;Intérieur et outre-mer
BG;Outre-mer;OA;138.0;Emploi outre-mer;02;Aide à l'insertion et à la qualification professionnelle;;;51.0;5;29020100.0;25681302.0;13000000.0;13000000.0;Intérieur et outre-mer
BG;Recherche et enseignement supérieur;RA;142.0;Enseignement supérieur et recherche agricoles;02;Recherche, développement et transfert de technologie;;;21.0;2;1973263.0;1973263.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Recherche et enseignement supérieur;RA;150.0;Formations supérieures et recherche universitaire;14;Immobilier;;;53.0;5;345628000.0;187463800.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;172.0;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche;;;32.0;3;241780000.0;241780000.0;0.0;0.0;Enseignement supérieur et recherche
BG;Recherche et enseignement supérieur;RA;193.0;Recherche spatiale;02;Développement de la technologie spatiale au service de l'observation de la terre;;;64.0;6;211661799.0;211661799.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
